locus_tag	ftype	gene	EC_number	product
ALJHJBEP_02520	CDS	lacI		Lactose operon repressor
ALJHJBEP_02521	CDS	lacZ	3.2.1.23	Beta-galactosidase
ALJHJBEP_02522	CDS	lacY_2		Lactose permease
ALJHJBEP_02523	CDS	lacA	2.3.1.18	Galactoside O-acetyltransferase
ALJHJBEP_02524	CDS	yycB		putative transporter YycB
ALJHJBEP_02525	CDS	cynS	4.2.1.104	Cyanate hydratase
ALJHJBEP_02526	CDS	cynT	4.2.1.1	Carbonic anhydrase 1
ALJHJBEP_02527	CDS	cynR_2		HTH-type transcriptional regulator CynR
ALJHJBEP_02528	CDS	codA	3.5.4.1	Cytosine deaminase
ALJHJBEP_02529	CDS	codB		Cytosine permease
ALJHJBEP_02530	CDS			hypothetical protein
ALJHJBEP_02531	CDS			hypothetical protein
ALJHJBEP_02532	CDS	sppA_3	3.4.21.-	Putative signal peptide peptidase SppA
ALJHJBEP_02533	CDS			hypothetical protein
ALJHJBEP_02534	CDS			hypothetical protein
ALJHJBEP_02535	CDS			hypothetical protein
ALJHJBEP_02536	CDS			hypothetical protein
ALJHJBEP_02537	CDS			hypothetical protein
ALJHJBEP_02538	CDS			hypothetical protein
ALJHJBEP_02539	CDS			hypothetical protein
ALJHJBEP_02540	CDS			hypothetical protein
ALJHJBEP_02541	CDS	trpA	4.2.1.20	Tryptophan synthase alpha chain
ALJHJBEP_02542	CDS	trpB	4.2.1.20	Tryptophan synthase beta chain
ALJHJBEP_02543	CDS	trpC		Tryptophan biosynthesis protein TrpCF
ALJHJBEP_02544	CDS	trpGD		Bifunctional protein TrpGD
ALJHJBEP_02545	CDS	trpE	4.1.3.27	Anthranilate synthase component 1
ALJHJBEP_02546	CDS	yciV	3.1.13.-	5'-3' exoribonuclease
ALJHJBEP_02547	CDS	ywlC	2.7.7.87	Threonylcarbamoyl-AMP synthase
ALJHJBEP_02548	CDS			hypothetical protein
ALJHJBEP_02549	CDS	rluB	5.4.99.22	Ribosomal large subunit pseudouridine synthase B
ALJHJBEP_02550	CDS	btuR_1	2.5.1.17	Cob(I)yrinic acid a,c-diamide adenosyltransferase
ALJHJBEP_02551	CDS	yciK	1.-.-.-	putative oxidoreductase YciK
ALJHJBEP_02552	CDS	sohB	3.4.21.-	putative protease SohB
ALJHJBEP_02553	CDS			hypothetical protein
ALJHJBEP_02554	CDS	topA_1	5.99.1.2	DNA topoisomerase 1
ALJHJBEP_02555	CDS	cysB		HTH-type transcriptional regulator CysB
ALJHJBEP_02556	CDS			hypothetical protein
ALJHJBEP_02557	CDS			hypothetical protein
ALJHJBEP_02558	CDS	acnA	4.2.1.3	Aconitate hydratase A
ALJHJBEP_02559	CDS	ribA	3.5.4.25	GTP cyclohydrolase-2
ALJHJBEP_02560	CDS	pgpB	3.1.3.27	Phosphatidylglycerophosphatase B
ALJHJBEP_02561	CDS	lapA		Lipopolysaccharide assembly protein A
ALJHJBEP_02562	CDS	lapB_2		Lipopolysaccharide assembly protein B
ALJHJBEP_02563	CDS	pyrF	4.1.1.23	Orotidine 5'-phosphate decarboxylase
ALJHJBEP_02564	CDS			hypothetical protein
ALJHJBEP_02565	CDS	osmB		Osmotically-inducible lipoprotein B
ALJHJBEP_02566	CDS	srlR_2		Glucitol operon repressor
ALJHJBEP_02567	CDS			hypothetical protein
ALJHJBEP_02568	CDS	gmr	3.1.4.52	Cyclic di-GMP phosphodiesterase Gmr
ALJHJBEP_02569	CDS	rnb	3.1.13.1	Exoribonuclease 2
ALJHJBEP_02570	CDS			hypothetical protein
ALJHJBEP_02571	CDS	fabI	1.3.1.9	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
ALJHJBEP_02572	CDS	yfiR		putative HTH-type transcriptional regulator YfiR
ALJHJBEP_02573	CDS	mexA		Multidrug resistance protein MexA
ALJHJBEP_02574	CDS	acrB_2		Multidrug efflux pump subunit AcrB
ALJHJBEP_02575	CDS	oprM		Outer membrane protein OprM
ALJHJBEP_02576	CDS	bcr_2		Bicyclomycin resistance protein
ALJHJBEP_02577	CDS	sapF		Putrescine export system ATP-binding protein SapF
ALJHJBEP_02578	CDS	sapD		Putrescine export system ATP-binding protein SapD
ALJHJBEP_02579	CDS	sapC		Putrescine export system permease protein SapC
ALJHJBEP_02580	CDS	sapB		Putrescine export system permease protein SapB
ALJHJBEP_02581	CDS	sapA		Peptide transport periplasmic protein SapA
ALJHJBEP_02582	CDS			hypothetical protein
ALJHJBEP_02583	CDS	puuP_1		Putrescine importer PuuP
ALJHJBEP_02584	CDS	puuP_2		Putrescine importer PuuP
ALJHJBEP_02585	CDS	puuA	6.3.1.11	Gamma-glutamylputrescine synthetase PuuA
ALJHJBEP_02586	CDS	puuD	3.5.1.94	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
ALJHJBEP_02587	CDS	puuR		HTH-type transcriptional regulator PuuR
ALJHJBEP_02588	CDS	puuC	1.2.1.5	Aldehyde dehydrogenase PuuC
ALJHJBEP_02589	CDS	puuB	1.4.3.-	Gamma-glutamylputrescine oxidoreductase
ALJHJBEP_02590	CDS	puuE	2.6.1.19	4-aminobutyrate aminotransferase PuuE
ALJHJBEP_02591	CDS	pspF		Psp operon transcriptional activator
ALJHJBEP_02592	CDS	pspA		Phage shock protein A
ALJHJBEP_02593	CDS	pspB_1		Phage shock protein B
ALJHJBEP_02594	CDS	pspC		Phage shock protein C
ALJHJBEP_02595	CDS	pspD		Phage shock protein D
ALJHJBEP_02596	CDS	pspE	2.8.1.1	Thiosulfate sulfurtransferase PspE
ALJHJBEP_02597	CDS	gtfA_1	2.4.1.7	Sucrose phosphorylase
ALJHJBEP_02598	CDS	gtfA_2	2.4.1.7	Sucrose phosphorylase
ALJHJBEP_02599	CDS	msmE		Multiple sugar-binding protein
ALJHJBEP_02600	CDS			hypothetical protein
ALJHJBEP_02601	CDS	ycjO		Inner membrane ABC transporter permease protein YcjO
ALJHJBEP_02602	CDS	ycjP		Inner membrane ABC transporter permease protein YcjP
ALJHJBEP_02603	CDS	adh	1.1.1.1	Alcohol dehydrogenase
ALJHJBEP_02604	CDS		5.1.3.30	D-psicose 3-epimerase
ALJHJBEP_02605	CDS	afr_1	1.1.1.292	1,5-anhydro-D-fructose reductase
ALJHJBEP_02606	CDS	kojP	2.4.1.230	Kojibiose phosphorylase
ALJHJBEP_02607	CDS	ycjU	5.4.2.6	Beta-phosphoglucomutase
ALJHJBEP_02608	CDS	ugpC_3	3.6.3.20	sn-glycerol-3-phosphate import ATP-binding protein UgpC
ALJHJBEP_02609	CDS	ompG		Outer membrane protein G
ALJHJBEP_02610	CDS	purR_2		HTH-type transcriptional repressor PurR
ALJHJBEP_02611	CDS			hypothetical protein
ALJHJBEP_02612	CDS			hypothetical protein
ALJHJBEP_02613	CDS	tyrR		Transcriptional regulatory protein TyrR
ALJHJBEP_02614	CDS	tpx	1.11.1.-	Thiol peroxidase
ALJHJBEP_02615	CDS	ycjG	5.1.1.20	L-Ala-D/L-Glu epimerase
ALJHJBEP_02616	CDS			hypothetical protein
ALJHJBEP_02617	CDS			hypothetical protein
ALJHJBEP_02618	CDS			hypothetical protein
ALJHJBEP_02619	CDS	dpp5_1	3.4.14.-	Dipeptidyl-peptidase 5
ALJHJBEP_02620	CDS			hypothetical protein
ALJHJBEP_02621	CDS	pgrR_2		HTH-type transcriptional regulator PgrR
ALJHJBEP_02622	CDS	mppA		Periplasmic murein peptide-binding protein
ALJHJBEP_02623	CDS	ynaI		Low conductance mechanosensitive channel YnaI
ALJHJBEP_02624	CDS			hypothetical protein
ALJHJBEP_02625	CDS	uspE		Universal stress protein E
ALJHJBEP_02626	CDS	fnr		Fumarate and nitrate reduction regulatory protein
ALJHJBEP_02627	CDS	ogt	2.1.1.63	Methylated-DNA--protein-cysteine methyltransferase
ALJHJBEP_02628	CDS	abgT		p-aminobenzoyl-glutamate transport protein
ALJHJBEP_02629	CDS	abgB	3.5.1.-	p-aminobenzoyl-glutamate hydrolase subunit B
ALJHJBEP_02630	CDS	abgA	3.5.1.-	p-aminobenzoyl-glutamate hydrolase subunit A
ALJHJBEP_02631	CDS	tsaR_1		HTH-type transcriptional regulator TsaR
ALJHJBEP_02632	CDS	smrA	3.1.-.-	putative DNA endonuclease SmrA
ALJHJBEP_02633	CDS	ydaM	2.7.7.65	putative diguanylate cyclase YdaM
ALJHJBEP_02634	CDS	zntB		Zinc transport protein ZntB
ALJHJBEP_02635	CDS			hypothetical protein
ALJHJBEP_02636	CDS	dbpA_1	3.6.4.13	ATP-dependent RNA helicase DbpA
ALJHJBEP_02637	CDS	ttcA		tRNA 2-thiocytidine biosynthesis protein TtcA
ALJHJBEP_02638	CDS	intQ_3		Putative defective protein IntQ
ALJHJBEP_02639	CDS			hypothetical protein
ALJHJBEP_02640	CDS	rcbA		Double-strand break reduction protein
ALJHJBEP_02641	CDS			hypothetical protein
ALJHJBEP_02642	CDS	recE_2	3.1.11.-	Exodeoxyribonuclease 8
ALJHJBEP_02643	CDS	mobB		Molybdopterin-guanine dinucleotide biosynthesis adapter protein
ALJHJBEP_02644	CDS	mobA	2.7.7.77	Molybdenum cofactor guanylyltransferase
ALJHJBEP_02645	CDS			hypothetical protein
ALJHJBEP_02646	CDS	srkA	2.7.11.1	Stress response kinase A
ALJHJBEP_02647	CDS	dsbA		Thiol:disulfide interchange protein DsbA
ALJHJBEP_02648	CDS			hypothetical protein
ALJHJBEP_02649	CDS	yihG	2.3.-.-	putative acyltransferase YihG
ALJHJBEP_02650	CDS			hypothetical protein
ALJHJBEP_02651	CDS	polA	2.7.7.7	DNA polymerase I
ALJHJBEP_02652	CDS	engB		putative GTP-binding protein EngB
ALJHJBEP_02653	CDS	yihI		Der GTPase-activating protein YihI
ALJHJBEP_02654	CDS	hemN_2	1.3.98.3	Oxygen-independent coproporphyrinogen III oxidase
ALJHJBEP_02655	CDS			hypothetical protein
ALJHJBEP_02656	CDS	glnG		Nitrogen regulation protein NR(I)
ALJHJBEP_02657	CDS	glnL	2.7.13.3	Nitrogen regulation protein NR(II)
ALJHJBEP_02658	CDS	glnA	6.3.1.2	Glutamine synthetase
ALJHJBEP_02659	CDS	typA		GTP-binding protein TypA/BipA
ALJHJBEP_02660	CDS	phnR		Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
ALJHJBEP_02661	CDS			hypothetical protein
ALJHJBEP_02662	CDS	yihN		Inner membrane protein YihN
ALJHJBEP_02663	CDS	ompL		Porin OmpL
ALJHJBEP_02664	CDS	yihP_1		Putative 2,3-dihydroxypropane-1-sulfonate exporter
ALJHJBEP_02665	CDS	yihP_2		Putative 2,3-dihydroxypropane-1-sulfonate exporter
ALJHJBEP_02666	CDS	yihQ	3.2.1.199	Sulfoquinovosidase
ALJHJBEP_02667	CDS			hypothetical protein
ALJHJBEP_02668	CDS	galM_2	5.1.3.3	Aldose 1-epimerase
ALJHJBEP_02669	CDS	yihS	5.3.1.31	Sulfoquinovose isomerase
ALJHJBEP_02670	CDS	yihT	4.1.2.57	Sulfofructosephosphate aldolase
ALJHJBEP_02671	CDS	yihU	1.1.1.373	3-sulfolactaldehyde reductase
ALJHJBEP_02672	CDS	yihV	2.7.1.184	Sulfofructose kinase
ALJHJBEP_02673	CDS	glpR_3		Glycerol-3-phosphate regulon repressor
ALJHJBEP_02674	CDS	yihX	3.1.3.10	Alpha-D-glucose 1-phosphate phosphatase YihX
ALJHJBEP_02675	CDS			hypothetical protein
ALJHJBEP_02676	CDS	dtd	3.1.1.96	D-aminoacyl-tRNA deacylase
ALJHJBEP_02677	CDS	argA_2	2.3.1.1	Amino-acid acetyltransferase
ALJHJBEP_02678	CDS			hypothetical protein
ALJHJBEP_02679	CDS			hypothetical protein
ALJHJBEP_02680	CDS			hypothetical protein
ALJHJBEP_02681	CDS			hypothetical protein
ALJHJBEP_02682	CDS			hypothetical protein
ALJHJBEP_02683	CDS	fdhE		Protein FdhE
ALJHJBEP_02684	CDS	fdoI		Formate dehydrogenase, cytochrome b556(fdo) subunit
ALJHJBEP_02685	CDS	fdoH		Formate dehydrogenase-O iron-sulfur subunit
ALJHJBEP_02686	CDS	fdoG_1	1.2.1.2	Formate dehydrogenase-O major subunit
ALJHJBEP_02687	CDS	fdoG_2	1.2.1.2	Formate dehydrogenase-O major subunit
ALJHJBEP_02688	CDS	fdhD		Sulfurtransferase FdhD
ALJHJBEP_02689	CDS			hypothetical protein
ALJHJBEP_02690	CDS	manR_3		Transcriptional regulator ManR
ALJHJBEP_02691	CDS	ysdC	3.4.11.-	Putative aminopeptidase YsdC
ALJHJBEP_02692	CDS	manP_2		PTS system mannose-specific EIIBCA component
ALJHJBEP_02693	CDS	fruA_2		PTS system fructose-specific EIIABC component
ALJHJBEP_02694	CDS			hypothetical protein
ALJHJBEP_02695	CDS	rhaM	5.1.3.32	L-rhamnose mutarotase
ALJHJBEP_02696	CDS	rhaD	4.1.2.19	Rhamnulose-1-phosphate aldolase
ALJHJBEP_02697	CDS	rhaA	5.3.1.14	L-rhamnose isomerase
ALJHJBEP_02698	CDS	rhaB	2.7.1.5	L-Rhamnulokinase
ALJHJBEP_02699	CDS	rhaS_2		HTH-type transcriptional activator RhaS
ALJHJBEP_02700	CDS	rhaR_3		HTH-type transcriptional activator RhaR
ALJHJBEP_02701	CDS	rhaT_1		L-rhamnose-proton symporter
ALJHJBEP_02702	CDS	rhaT_2		L-rhamnose-proton symporter
ALJHJBEP_02703	CDS	sodA	1.15.1.1	Superoxide dismutase [Mn]
ALJHJBEP_02704	CDS	kdgT		2-keto-3-deoxygluconate permease
ALJHJBEP_02705	CDS			hypothetical protein
ALJHJBEP_02706	CDS	cpxA	2.7.13.3	Sensor histidine kinase CpxA
ALJHJBEP_02707	CDS	cpxR		Transcriptional regulatory protein CpxR
ALJHJBEP_02708	CDS	cpxP		Periplasmic protein CpxP
ALJHJBEP_02709	CDS	fieF		Ferrous-iron efflux pump FieF
ALJHJBEP_02710	CDS			hypothetical protein
ALJHJBEP_02711	CDS	pfkA_2	2.7.1.11	ATP-dependent 6-phosphofructokinase isozyme 1
ALJHJBEP_02712	CDS	sbp		Sulfate-binding protein
ALJHJBEP_02713	CDS	cdh	3.6.1.26	CDP-diacylglycerol pyrophosphatase
ALJHJBEP_02714	CDS	tpiA	5.3.1.1	Triosephosphate isomerase
ALJHJBEP_02715	CDS			hypothetical protein
ALJHJBEP_02716	CDS			hypothetical protein
ALJHJBEP_02717	CDS			hypothetical protein
ALJHJBEP_02718	CDS	uspD		Universal stress protein D
ALJHJBEP_02719	CDS	fpr	1.18.1.2	Ferredoxin--NADP reductase
ALJHJBEP_02720	CDS	glpX	3.1.3.11	Fructose-1,6-bisphosphatase 1 class 2
ALJHJBEP_02721	CDS	glpK	2.7.1.30	Glycerol kinase
ALJHJBEP_02722	CDS	glpF		Glycerol uptake facilitator protein
ALJHJBEP_02723	CDS	zapB		Cell division protein ZapB
ALJHJBEP_02724	CDS			hypothetical protein
ALJHJBEP_02725	CDS			hypothetical protein
ALJHJBEP_02726	CDS	rraA		Regulator of ribonuclease activity A
ALJHJBEP_02727	CDS	menA	2.5.1.74	1,4-dihydroxy-2-naphthoate octaprenyltransferase
ALJHJBEP_02728	CDS	hslU		ATP-dependent protease ATPase subunit HslU
ALJHJBEP_02729	CDS	hslV	3.4.25.2	ATP-dependent protease subunit HslV
ALJHJBEP_02730	CDS	ftsN		Cell division protein FtsN
ALJHJBEP_02731	CDS	cytR_2		HTH-type transcriptional repressor CytR
ALJHJBEP_02732	CDS	priA	3.6.4.-	Primosomal protein N'
ALJHJBEP_02733	CDS	rpmE		50S ribosomal protein L31
ALJHJBEP_02734	CDS			hypothetical protein
ALJHJBEP_02735	CDS			hypothetical protein
ALJHJBEP_02736	CDS	yodB		Cytochrome b561 
ALJHJBEP_02737	CDS	zinT		Metal-binding protein ZinT
ALJHJBEP_02738	CDS	msrQ		Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
ALJHJBEP_02739	CDS	msrP	1.8.5.-	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
ALJHJBEP_02740	CDS	hiuH	3.5.2.17	5-hydroxyisourate hydrolase
ALJHJBEP_02741	CDS	yedW		putative transcriptional regulatory protein YedW
ALJHJBEP_02742	CDS	yedV	2.7.13.3	putative sensor-like histidine kinase YedV
ALJHJBEP_02743	CDS	hchA	4.2.1.130	Molecular chaperone Hsp31 and glyoxalase 3
ALJHJBEP_02744	CDS	ompN_1		Outer membrane protein N
ALJHJBEP_02745	CDS	ompC_2		Outer membrane protein C
ALJHJBEP_02746	CDS			hypothetical protein
ALJHJBEP_02747	CDS	dcm	2.1.1.37	DNA-cytosine methyltransferase
ALJHJBEP_02748	CDS	vsr	3.1.-.-	Very short patch repair protein
ALJHJBEP_02749	CDS	yedA		putative inner membrane transporter YedA
ALJHJBEP_02750	CDS	yedI		Inner membrane protein YedI
ALJHJBEP_02751	CDS			hypothetical protein
ALJHJBEP_02752	CDS	yedQ_1	2.7.7.65	putative diguanylate cyclase YedQ
ALJHJBEP_02753	CDS	yedP	3.1.3.70	Mannosyl-3-phosphoglycerate phosphatase
ALJHJBEP_02754	CDS			hypothetical protein
ALJHJBEP_02755	CDS	dsrB		Protein DsrB
ALJHJBEP_02756	CDS	rcsA		Transcriptional regulatory protein RcsA
ALJHJBEP_02757	CDS			hypothetical protein
ALJHJBEP_02758	CDS			hypothetical protein
ALJHJBEP_02759	CDS	fliP_2		Flagellar biosynthetic protein FliP
ALJHJBEP_02760	CDS	fliO		Flagellar protein FliO
ALJHJBEP_02761	CDS	fliN		Flagellar motor switch protein FliN
ALJHJBEP_02762	CDS	fliM		Flagellar motor switch protein FliM
ALJHJBEP_02763	CDS			hypothetical protein
ALJHJBEP_02764	CDS	fliK		Flagellar hook-length control protein
ALJHJBEP_02765	CDS	fliJ		Flagellar FliJ protein
ALJHJBEP_02766	CDS	fliI	3.6.3.14	Flagellum-specific ATP synthase
ALJHJBEP_02767	CDS	fliH		Flagellar assembly protein FliH
ALJHJBEP_02768	CDS	fliG		Flagellar motor switch protein FliG
ALJHJBEP_02769	CDS	fliF		Flagellar M-ring protein
ALJHJBEP_02770	CDS	fliE		Flagellar hook-basal body complex protein FliE
ALJHJBEP_02771	CDS	tufB		Elongation factor Tu 2
ALJHJBEP_02772	CDS	secE		Protein translocase subunit SecE
ALJHJBEP_02773	CDS	nusG		Transcription termination/antitermination protein NusG
ALJHJBEP_02774	CDS	rplK		50S ribosomal protein L11
ALJHJBEP_02775	CDS	rplA		50S ribosomal protein L1
ALJHJBEP_02776	CDS	rplJ		50S ribosomal protein L10
ALJHJBEP_02777	CDS	rplL		50S ribosomal protein L7/L12
ALJHJBEP_02778	CDS	rpoB	2.7.7.6	DNA-directed RNA polymerase subunit beta
ALJHJBEP_02779	CDS	rpoC	2.7.7.6	DNA-directed RNA polymerase subunit beta'
ALJHJBEP_02780	CDS	htrC		Heat shock protein C
ALJHJBEP_02781	CDS	thiH	4.1.99.19	2-iminoacetate synthase
ALJHJBEP_02782	CDS	thiG	2.8.1.10	Thiazole synthase
ALJHJBEP_02783	CDS	thiS		Sulfur carrier protein ThiS
ALJHJBEP_02784	CDS	thiF	2.7.7.73	Sulfur carrier protein ThiS adenylyltransferase
ALJHJBEP_02785	CDS	thiE	2.5.1.3	Thiamine-phosphate synthase
ALJHJBEP_02786	CDS	thiC	4.1.99.17	Phosphomethylpyrimidine synthase
ALJHJBEP_02787	CDS	rsd		Regulator of sigma D
ALJHJBEP_02788	CDS	nudC	3.6.1.22	NADH pyrophosphatase
ALJHJBEP_02789	CDS	hemE	4.1.1.37	Uroporphyrinogen decarboxylase
ALJHJBEP_02790	CDS	nfi	3.1.21.7	Endonuclease V
ALJHJBEP_02791	CDS			hypothetical protein
ALJHJBEP_02792	CDS	hupA		DNA-binding protein HU-alpha
ALJHJBEP_02793	CDS			hypothetical protein
ALJHJBEP_02794	CDS	zraP		Zinc resistance-associated protein
ALJHJBEP_02795	CDS			hypothetical protein
ALJHJBEP_02796	CDS	zraS	2.7.13.3	Sensor protein ZraS
ALJHJBEP_02797	CDS	zraR		Transcriptional regulatory protein ZraR
ALJHJBEP_02798	CDS	purD	6.3.4.13	Phosphoribosylamine--glycine ligase
ALJHJBEP_02799	CDS	purH		Bifunctional purine biosynthesis protein PurH
ALJHJBEP_02800	CDS			hypothetical protein
ALJHJBEP_02801	CDS			hypothetical protein
ALJHJBEP_02802	CDS			hypothetical protein
ALJHJBEP_02803	CDS			hypothetical protein
ALJHJBEP_02804	CDS			hypothetical protein
ALJHJBEP_02805	CDS	aphA	3.1.3.2	Class B acid phosphatase
ALJHJBEP_02806	CDS			hypothetical protein
ALJHJBEP_02807	CDS			hypothetical protein
ALJHJBEP_02808	CDS	uvrA		UvrABC system protein A
ALJHJBEP_02809	CDS	ssb_3		Single-stranded DNA-binding protein
ALJHJBEP_02810	CDS			hypothetical protein
ALJHJBEP_02811	CDS	yjcC	3.1.4.52	Putative cyclic-di-GMP phosphodiesterase YjcC
ALJHJBEP_02812	CDS	soxS		Regulatory protein SoxS
ALJHJBEP_02813	CDS	soxR		Redox-sensitive transcriptional activator SoxR
ALJHJBEP_02814	CDS	ghxP		Guanine/hypoxanthine permease GhxP
ALJHJBEP_02815	CDS	nhaK		Sodium, potassium, lithium and rubidium/H(+) antiporter
ALJHJBEP_02816	CDS			hypothetical protein
ALJHJBEP_02817	CDS	actP		Cation/acetate symporter ActP
ALJHJBEP_02818	CDS	yjcH		Inner membrane protein YjcH
ALJHJBEP_02819	CDS	acs_2	6.2.1.1	Acetyl-coenzyme A synthetase
ALJHJBEP_02820	CDS	nrfA	1.7.2.2	Cytochrome c-552
ALJHJBEP_02821	CDS	nrfB		Cytochrome c-type protein NrfB
ALJHJBEP_02822	CDS	ydhX_2		putative ferredoxin-like protein YdhX
ALJHJBEP_02823	CDS			hypothetical protein
ALJHJBEP_02824	CDS	ccmF_2		Cytochrome c-type biogenesis protein CcmF
ALJHJBEP_02825	CDS	ccmH_2		Cytochrome c-type biogenesis protein CcmH
ALJHJBEP_02826	CDS	nrfG		Formate-dependent nitrite reductase complex subunit NrfG
ALJHJBEP_02827	CDS	gltP		Proton/glutamate-aspartate symporter
ALJHJBEP_02828	CDS			hypothetical protein
ALJHJBEP_02829	CDS	fdhF_1	1.1.99.33	Formate dehydrogenase H
ALJHJBEP_02830	CDS	fdhF_2	1.1.99.33	Formate dehydrogenase H
ALJHJBEP_02831	CDS	cusC_2		Cation efflux system protein CusC
ALJHJBEP_02832	CDS	mdtO		Multidrug resistance protein MdtO
ALJHJBEP_02833	CDS	mdtN		Multidrug resistance protein MdtN
ALJHJBEP_02834	CDS			hypothetical protein
ALJHJBEP_02835	CDS	yjcS	3.1.6.-	Putative alkyl/aryl-sulfatase YjcS
ALJHJBEP_02836	CDS	ompR_2		Transcriptional regulatory protein OmpR
ALJHJBEP_02837	CDS	ydjH_1	2.7.1.-	putative sugar kinase YdjH
ALJHJBEP_02838	CDS	fbaA_2	4.1.2.13	putative fructose-bisphosphate aldolase
ALJHJBEP_02839	CDS			hypothetical protein
ALJHJBEP_02840	CDS	rbsB_2		Ribose import binding protein RbsB
ALJHJBEP_02841	CDS	rbsC_4		Ribose import permease protein RbsC
ALJHJBEP_02842	CDS	rbsA_3	3.6.3.17	Ribose import ATP-binding protein RbsA
ALJHJBEP_02843	CDS	cckA		Sensor kinase CckA
ALJHJBEP_02844	CDS			hypothetical protein
ALJHJBEP_02845	CDS	phnP	3.1.4.55	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
ALJHJBEP_02846	CDS	phnO	2.3.1.-	Aminoalkylphosphonate N-acetyltransferase
ALJHJBEP_02847	CDS	phnN	2.7.4.23	Ribose 1,5-bisphosphate phosphokinase PhnN
ALJHJBEP_02848	CDS	phnM	3.6.1.63	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
ALJHJBEP_02849	CDS	phnL	2.7.8.37	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
ALJHJBEP_02850	CDS	phnK		Putative phosphonates utilization ATP-binding protein PhnK
ALJHJBEP_02851	CDS	phnJ	4.7.1.1	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
ALJHJBEP_02852	CDS	phnI	2.7.8.37	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
ALJHJBEP_02853	CDS	phnH	2.7.8.37	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
ALJHJBEP_02854	CDS	phnG	2.7.8.37	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
ALJHJBEP_02855	CDS	phnF		putative transcriptional regulator PhnF
ALJHJBEP_02856	CDS	phnE		Phosphate-import permease protein PhnE
ALJHJBEP_02857	CDS	phnD		Phosphate-import protein PhnD
ALJHJBEP_02858	CDS	phnC	3.6.3.27	Phosphate-import ATP-binding protein PhnC
ALJHJBEP_02859	CDS			hypothetical protein
ALJHJBEP_02860	CDS			hypothetical protein
ALJHJBEP_02861	CDS	crfC_2		Clamp-binding protein CrfC
ALJHJBEP_02862	CDS			hypothetical protein
ALJHJBEP_02863	CDS	proP_1		Proline/betaine transporter
ALJHJBEP_02864	CDS			hypothetical protein
ALJHJBEP_02865	CDS	basS	2.7.13.3	Sensor protein BasS
ALJHJBEP_02866	CDS	basR		Transcriptional regulatory protein BasR
ALJHJBEP_02867	CDS	eptA_2	2.7.-.-	Phosphoethanolamine transferase EptA
ALJHJBEP_02868	CDS	adiC		Arginine/agmatine antiporter
ALJHJBEP_02869	CDS	gadX_3		HTH-type transcriptional regulator GadX
ALJHJBEP_02870	CDS			hypothetical protein
ALJHJBEP_02871	CDS			hypothetical protein
ALJHJBEP_02872	CDS			hypothetical protein
ALJHJBEP_02873	CDS			hypothetical protein
ALJHJBEP_02874	CDS			hypothetical protein
ALJHJBEP_02875	CDS	rrrD_4	3.2.1.17	Lysozyme RrrD
ALJHJBEP_02876	CDS			hypothetical protein
ALJHJBEP_02877	CDS	uspF		Universal stress protein F
ALJHJBEP_02878	CDS	ompN_2		Outer membrane protein N
ALJHJBEP_02879	CDS	ompN_3		Outer membrane protein N
ALJHJBEP_02880	CDS	nifJ	1.2.7.-	Pyruvate-flavodoxin oxidoreductase
ALJHJBEP_02881	CDS			hypothetical protein
ALJHJBEP_02882	CDS	hslJ		Heat shock protein HslJ
ALJHJBEP_02883	CDS	ldhA	1.1.1.28	D-lactate dehydrogenase
ALJHJBEP_02884	CDS			hypothetical protein
ALJHJBEP_02885	CDS			hypothetical protein
ALJHJBEP_02886	CDS			hypothetical protein
ALJHJBEP_02887	CDS			hypothetical protein
ALJHJBEP_02888	CDS			hypothetical protein
ALJHJBEP_02889	CDS	dkgB_1	1.1.1.346	2,5-diketo-D-gluconic acid reductase B
ALJHJBEP_02890	CDS			hypothetical protein
ALJHJBEP_02891	CDS	ynbA		Inner membrane protein YnbA
ALJHJBEP_02892	CDS	cdsA_1	2.7.7.41	Phosphatidate cytidylyltransferase
ALJHJBEP_02893	CDS	ytpA	3.1.1.-	Phospholipase YtpA
ALJHJBEP_02894	CDS			hypothetical protein
ALJHJBEP_02895	CDS	azoR	1.7.-.-	FMN-dependent NADH-azoreductase
ALJHJBEP_02896	CDS	dbpA_2	3.6.4.13	ATP-dependent RNA helicase DbpA
ALJHJBEP_02897	CDS			hypothetical protein
ALJHJBEP_02898	CDS			hypothetical protein
ALJHJBEP_02899	CDS			hypothetical protein
ALJHJBEP_02900	CDS			hypothetical protein
ALJHJBEP_02901	CDS			hypothetical protein
ALJHJBEP_02902	CDS	aldA	1.2.1.22	Lactaldehyde dehydrogenase
